director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,overview,tagline,rating,companies
Călin Peter Netzer,Mircea Postelnicu,Diana Cavallioti,Carmen Tănase,Drama,"ana, my love","Toma and Ana meet as students in the literature faculty, and quickly fall in love. But, because of Ana's mental illness, their relationship slowly collapses.",,6.7,Sophie Dulac Productions Parada Film Augenschein Filmproduktion
Rezo Gigineishvili,Irakli Kvirikadze,Tinatin Dalakishvili,Merab Ninidze,Drama,hostages,True account of the six men held hostage by religious extremists in Beirut during the Reagan-Bush era.,,6.7,
So Yong Kim,Jena Malone,Riley Keough,Jessie Ok Gray,Drama Romance,lovesong,"Neglected by her husband, Sarah embarks on an impromptu road trip with her young daughter and her best friend, Mindy. Along the way, the dynamic between the two friends intensifies before circumstances force them apart. Years later, Sarah attempts to rebuild their intimate connection in the days before Mindy’s wedding.",,5.6,Soandbrad Gamechanger Films Autumn Productions Monofonus Press Strand Releasing
Vladimir Besedin,Aleksandr Gorbatov,Ivan Fominov,Anton Kuznetsov,Action Adventure Sci-Fi Drama,major grom,"Igor Grom is a skilled policeman from St. Petersburg, known for his daring nature and uncompromising attitude towards the criminals of all kinds. Incredible strength, analytical mind and integrity – these qualities make Major Grom the perfect policeman. Working tirelessly, he always pushes through, and meets the challenges standing in the way.",,6.7,Bubble Studios
Peter W. Kunhardt Brian Oakes,Warren Buffett,Susan Buffett,Bill Gates,Documentary,becoming warren buffett,"The story of the evolution of a boy from Nebraska who became one of the most respected men in the world, and the heroes who helped guide him along the way. By allowing access to his life and never-before-released home videos, Buffett offers a glimpse into his unique mind to help us understand what is truly important when money no longer has meaning.",Find Out What Life Is Really Worth,7.2,
Catalina Aguilar Mastretta,Karla Souza,José María Yazpik,Ben O'Toole,Romance Comedy,everybody loves somebody,"On the surface, Clara Barron seems to have it all: a job as an OB-GYN; a great house in LA; and a loving family. But, the one thing Clara doesn't have figured out is her love life. Pressured by a family wedding in Mexico, Clara asks a co-worker to pose as her boyfriend for the weekend festivities,- only to be caught by surprise when her ex- boyfriend (and family favorite) suddenly shows up after disappearing from her life completely. Torn, Clara must decide between going back to the past or open her heart to new and unexpected possibilities.","If her heart doesn't choose, her family will.",6.6,Videocine S.A. de C.V. Pantelion Films Draco Films Ring Cine
Dany Boon,Alice Pol,Dany Boon,Michel Blanc,Action Comedy,r.a.i.d. special unit,"The story of a woman who dreams to join an intervention group in the police department called RAID. Unfortunately, she is rather clumsy and both her family (and soon to be family-in-law) and a veteran of the RAID do not approve. However, Johanna is determined to prove them wrong.",,5.7,TF1 Films Production Pathé Artémis Productions Les Productions du Ch'timi
Leslie Libman,Natasha Bassett,Jenna Berman,Matthew Harrison,Drama TV Movie,britney ever after,"Biopic detailing the tumultuous story of pop icon Britney Spears' rise to fame, fall from grace and eventual triumphant resurrection, firmly securing her position as one of the world's greatest entertainers.",,4.0,Asylum Entertainment Lifetime Side Street Post
Kerstin Karlhuber,Tom Wopat,Michael Grant,Gregory Harrison,Family Drama,fair haven,"After a long stint in gay conversion therapy, James, a young piano prodigy, returns home to his family farm and his emotionally-distant father, Richard. After Richard pressures James to give up his music career and take over the farm, James agrees as a way to make up for his past. Soon, however, James finds himself face-to-face with a former lover, Charlie, who wants to help him turn away from his new beliefs and family expectations and follow his dreams of studying music.",Everyone deserves a chance at finding happiness.,6.4,Silent Giant Productions Trick Candle Productions
Destin Cretton,Brie Larson,Woody Harrelson,Naomi Watts,Drama,the glass castle,"A young girl is raised in a dysfunctional family constantly on the run from the FBI. Living in poverty, she comes of age guided by her drunkard, ingenious father who distracts her with magical stories to keep her mind off the family's dire state, and her selfish, nonconformist mother who has no intention of raising a family, along with her younger brother and sister, and her other older sister. Together, they fend for each other as they mature in an unorthodox journey that is their family life.",,7.2,Lionsgate Netter Productions TIK Films
Thomas Torrey,Thomas Torrey,Katherine Drew,J.R. Adduci,Drama Thriller,fare,A ride-share driver finds himself transporting the man who is secretly sleeping with his wife.,Of all the fares in the city,4.2,Bad Theology
Dome Karukoski,Pekka Strang,Lauri Tilkanen,Jakob Oftebro,Drama,tom of finland,"Touko Laaksonen, a decorated officer, returns home after a harrowing and heroic experience serving his country in World War II, but life in Finland during peacetime proves equally distressing. He finds peace-time Helsinki rampant with persecution of the homosexual and men around him even being pressured to marry women and have children. Touko finds refuge in his liberating art, specialising in homoerotic drawings of muscular men, free of inhibitions. His work – made famous by his signature ‘Tom of Finland’ – became the emblem of a generation of men and fanned the flames of a gay revolution.",They called it filth. It became a revolution.,6.7,Helsinki Filmi Fridthjof Film Neutrinos Productions Anagram
Kris Avedisian,Louisa Krause,Allie Marshall,Ariana DeFusco,Drama Comedy,donald cried,"Returning home to working class Warwick, Rhode Island, Peter Latang encounters childhood friend Donald Treebeck for what starts as a simple favor and turns into a long van ride into two friends past.",Some people can take a hint. And some people are Donald.,6.5,Rough House Pictures How follows what Electric Chinoland Ramo Law
Mike Dudko,Rachel Barrer,Gleb Kaminer,Shaun Rey,Horror Comedy,zombie pizza,"After losing his father, a teenage boy decides to continue the family business and deliver pizza by bicycle during the zombie apocalypse.",Pizza. Anytime. Anywhere.,6.5,
Lone Scherfig,Gemma Arterton,Sam Claflin,Bill Nighy,Romance War Comedy Drama,their finest,"During the Blitz of World War II, a female screenwriter works on a film celebrating England's resilience as a way to buoy a weary populace's spirits. Her efforts to dramatise the true story of two sisters who undertook their own maritime mission to rescue wounded soldiers are met with mixed feelings by a dismissive all-male staff.",In the fight for freedom everyone played a part.,6.7,BBC Film HanWay Films Number 9 Films Filmgate Films Ripken Productions Pinewood Pictures Wildgaze Films Film i Väst EuropaCorp
Joseph Ruben,Michiel Huisman,Hera Hilmar,Josh Hartnett,Romance Drama War,the ottoman lieutenant,"Lillie, a determined American woman, ventures overseas to join Dr. Jude at a remote medical mission in the Ottoman Empire (now Turkey). However, Lillie soon finds herself at odds with Jude and the mission’s founder, Woodruff, when she falls for the titular military man, Ismail, just as the war is about to erupt.",In a land on the brink of war the most dangerous place to be is in love.,6.2,Eastern Sunrise Films
William Oldroyd,Florence Pugh,Cosmo Jarvis,Paul Hilton,Drama,lady macbeth,"Rural England, 1865. Katherine, suffocated by her loveless marriage to a bitter man and restrained by his father's tyranny, unleashes an irresistible force within her, so powerful that she will stop at nothing to get what she wants.",,6.6,iFeatures Sixty Six Pictures BBC Film BFI Creative England Oldgarth Media
Ritesh Batra,Jim Broadbent,Charlotte Rampling,Harriet Walter,Mystery Drama,the sense of an ending,A man becomes haunted by his past and is presented with a mysterious legacy that causes him re-think his current situation in life.,Sometimes what we remember is only half the story,6.4,Origin Pictures BBC Film FilmNation Entertainment
Susan Johnson,Bel Powley,Nathan Lane,Gabriel Byrne,Drama Comedy,carrie pilby,"Awkward, isolated and disapproving of most of the people around her, a precocious 19-year-old genius is challenged to put her convictions to the test by venturing out on to the NYC dating scene.",Live your life before it passes you by,6.9,Braveart Films
James Franco Pamela Romanowsky,James Franco,Tim Blake Nelson,Lori Singer,Thriller,the institute,"In 19th century Baltimore, Isabel Porter, a girl stricken with grief from her parents' untimely death, voluntarily checks herself into the Rosewood Institute. Subjected to bizarre and increasingly violent pseudo-scientific experiments in personality modification, brainwashing and mind control, she must escape the clutches of the Rosewood and exact her revenge, or else be forever lost.",,4.2,Dark Rabbit Productions Redwire Pictures Campbell Grobman Films Jeff Rice Films
Filippo Capuzzi Lapietra,Felipe Castanhari,Rafinha Bastos,PC Siqueira,Comedy,internet - o filme,"In a convention of youtubers, the characters enter into various conflicts since they are all in search of fame at any price.",25 crazy people in the same event?! Of course it was going to s***!,3.8,Paris Filmes Paris Entretenimento
Mehdi Idir Grand Corps Malade,Pablo Pauly,Soufiane Guerrab,Moussa Mansaly,Drama Comedy,patients,"After a serious sport accident in a swimming pool, Ben, now an incomplete quadriplegic, arrives in a rehabilitation center. He meets with other handicapped persons (tetraplegics, paraplegics, traumatized crania), all victims of accidents, as well as a handicapped since his early childhood. They go through impotence, despair and resignation, with their daily struggle to learn how to move a finger or to hold a fork. Some of them slowly find a little mobility while others receive the verdict of the handicap for life. Despite everything, hope and friendship help them endure their difficulties.",,7.5,Gaumont
Stuart Hazeldine,Sam Worthington,Octavia Spencer,Tim McGraw,Drama Fantasy,the shack,"After suffering a family tragedy, Mack Phillips spirals into a deep depression causing him to question his innermost beliefs. Facing a crisis of faith, he receives a mysterious letter urging him to an abandoned shack deep in the Oregon wilderness. Despite his doubts, Mack journeys to the shack and encounters an enigmatic trio of strangers led by a woman named Papa. Through this meeting, Mack finds important truths that will transform his understanding of his tragedy and change his life forever.",You're never as alone as you think.,7.5,Summit Entertainment Netter Productions
Svyatoslav Podgayevskiy,Victoria Agalakova,Vyacheslav Chepurchenko,Alexandra Rebenok,Mystery Horror Thriller,the bride,"After years of research Doctor Frankenstein finally succeeds in creating the perfect woman, whom he names Eva.",A woman born of electricity. A man driven by obsession.,5.4,Columbia Pictures Colgems Productions Ltd. Lee International Studios Tri-Star-Delphi III Productions
Daniel Espinosa,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Horror Sci-Fi Thriller,life,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.",Be careful what you search for,6.4,Columbia Pictures Nvizage Sony Pictures Skydance
Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy,Action Crime Romance,kaabil,"Rohan is a kind, happy young man who has been blind since birth and works as a voice-over artist for a living. Through friends, he meets Supriya, a working woman who is also blind, but proudly independent. The two start liking each other and get married. Rohan toughest journey starts in his quest of vengeance for Supriya's indirect murderers.",The Mind Sees All!,6.8,Film Kraft
Bryan Brewer,Cree Kelly,Allie Rivera,Thatcher Robinson,Horror,the raking,"THE RAKING tells the story of a group of college students who set out to debunk an urban legend in Joshua Tree, California for their anthropology thesis, only to find that they become part of the legend themselves.",,4.7,Lesson 1 Entertainment
J.D. Dillard,Jacob Latimore,Seychelle Gabriel,Sasheer Zamata,Drama Thriller Action Sci-Fi,sleight,"A young street magician is left to take care of his little sister after his mother's passing and turns to drug dealing in the Los Angeles party scene to keep a roof over their heads. When he gets into trouble with his supplier, his sister is kidnapped and he is forced to rely on both his sleight of hand and brilliant mind to save her.",You can change the cards you're dealt,5.4,Diablo Entertainment Blumhouse Productions
Sarah Adina Smith,Rami Malek,DJ Qualls,Kate Lyn Sheil,Mystery Drama,buster's mal heart,An eccentric mountain man on the run from the local sheriff recalls the mysterious events that brought him to his present fugitive state.,The Inversion is Coming,6.2,Gamechanger Films Snowfort Pictures Everything Is Everything
Han Jae-rim,Jo In-sung,Jung Woo-sung,Bae Seong-woo,Drama Crime,the king,"As a lionhearted boy who can’t wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",When the legend revives... The kingdom will fall.,8.7,Pierrot
David Ryan Keith,Michael Koltes,Paul Flannery,Lisa Livingstone,Horror,ghosts of darkness,"Two paranormal investigators are unexpectedly thrown together in the hope of solving a 100 year mystery. Locked for three nights in a house with a dark and unsettling past, the two investigators must put their differences to one side and work together. They soon discover the myths and stories are nothing compared to what actually resides within the eerie walls of Richwood Manor. Scepticism and showmanship are soon put to one side when the two investigators realise there is more at stake than just their professional reputation. For once they have stumbled onto the real thing, but this time it's their own lives at stake.",A New Breed Of Ghost Hunter,5.5,Clear Focus Movies Strong Oak Pictures
Dean Israelite,Dacre Montgomery,Naomi Scott,RJ Cyler,Action Adventure Sci-Fi,power rangers,"Saban's Power Rangers follows five ordinary teens who must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny, our heroes quickly discover they are the only ones who can save the planet. But to do so, they will have to overcome their real-life issues and before it’s too late, band together as the Power Rangers.",Together we are more.,6.3,Lionsgate Saban Brands Saban Films Temple Hill Entertainment TIK Films
Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,Horror Sci-Fi Thriller,alien: covenant,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",The path to paradise begins in hell.,6.1,Scott Free Productions Brandywine Productions 20th Century Fox
Massimiliano Bruno,Marco Giallini,Alessandro Gassman,Teresa Romagnoli,Comedy,beata ignoranza,"Ernesto and Filippo, two high school teachers, couldn’t be more different: Filippo is a cheerful liberal who is constantly online. Handsome and youthful, he is a serial seducer on the social networks. Ernesto, instead is a stern conservative, rigorously computerless. He is probably the last person around who still has a first-generation cell phone and his teaching methods are very traditional. They used to be best friends but an unresolved fight kept them far apart, until the day fate intervened and they found themselves teaching at the same school. Their opposite viewpoints will soon and inevitably lead to a new clash. The internet will force them to deal with their past, which resurfaces in the shape of Nina, a young woman who conducts an experiment on them: Filippo must try to leave the world of Internet and Ernesto must try to enter it.",,5.9,Italian International Film RAI Cinema
Ben Wheatley,Sharlto Copley,Armie Hammer,Brie Larson,Action Comedy Crime Thriller,free fire,"In a 1970s Boston, a meeting in a deserted warehouse between two gangs turns into a shoot-out and a game of survival.",All guns. No control.,6.3,Rook Films Protagonist Pictures Film4 Productions
Kitty Green,Hannah Cagwin,Aeona Cruz,Liv Bagley,Documentary,casting jonbenet,"Twenty years after the modern world's most notorious child murder, the legacy of the crime and its impact are explored.",Everyone wants the part that's missing,5.7,Meridian Productions Forensic Films Symbolic Entertainment Symbolic Exchange
Etienne Comar,Reda Kateb,Cécile de France,Àlex Brendemühl,Drama,django,A coffin-dragging gunslinger and a half-breed prostitute become embroiled in a bitter feud between a merciless masked clan and a band of Mexican revolutionaries.,The movie that spawned a genre.,7.2,Tecisa Film B.R.C. Produzione Film
Samuli Valkama,Noah Kin,Heikki Nousiainen,Mikko Nousiainen,Comedy Drama,unexpected journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",From the smallest beginnings come the greatest legends.,7.3,Warner Bros. Pictures Metro-Goldwyn-Mayer New Line Cinema WingNut Films
Oren Moverman,Richard Gere,Laura Linney,Steve Coogan,Drama Thriller,the dinner,"Two brothers and their wives meet up at a haute-cuisine restaurant to discuss what to do about a horrific crime that their sons committed together. As the quartet debate their options, the conversation reopens old wounds between the siblings.",How far would you go to protect your children?,4.5,ChubbCo Film Post Factory NY BlackBird Code Red
Josef Hader,Josef Hader,Georg Friedrich,Crina Semciuc,Comedy Crime Drama,wild mouse,"Kings should be treated courteously! At least, that's what famous music critic Georg thinks. But he finds himself counting pennies when his chief editor suddenly fires him from the Viennese newspaper for which he has been writing for decades. While keeping his dismissal a secret from his psychotherapist wife Johanna, whose mind is occupied solely by getting pregnant, Georg begins to plot his revenge.",,6.6,wega film vienna ZDF
Brian Vernick,Cheryl M. Bailey,Louis Ballezzi,Shawn Bittenbender,Crime Drama,the avenue,"Giancarlo ""Eddie"" Marturano, a down and out gambler trapped in the world he's created for himself. Like his adopted home of Atlantic City, Eddie is beaten, down on one knee, struggling mightily to rise to his feet again. His only salvation is his beloved Sandra and their hope of a better future. When he and his partner in crime, Christian Flynn, stumble onto the deal of their lives, will it finally be their avenue out of town?","Love, loss, diamonds...and only one way out of Atlantic City.",3.0,Flick Flingr
Steven C. Miller,Nicolas Cage,Christopher Rob Bowen,Adrian Grenier,Action Crime Thriller,arsenal,"After the deadbeat brother of a businessman is assumed to be in on his own kidnapping, his sibling must take action to rescue him.",Brotherhood has its price.,4.4,Ingenious Media Highland Film Group River Bay Films Tinker Productions Lionsgate The Fyzz EFO Films
Adolfo Martínez Pérez,Ariadna Gil,Roberto Álamo,Antonio Garrido,War,rescue under fire,"The crew of a medical helicopter suffers an accident when helping a joint force of USA and United Nations troops under Spanish command division in Afghanistan. The Spanish army has only one night to organize the rescue of the crew and injured, but what seems routine turns into hell once they receive the order to rescue the helicopter as well. Things only get worse when during the night a huge a concentration of Talibans begin surround them.",,6.8,Movistar+ Tornasol Films Castafiore Films Hernández y Fernández PC TVE
Vanessa Parise,Haley Pullos,Judd Nelson,Sasha Clements,Drama,from straight a's to xxx,"When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning.",Inspired by a true story,6.0,Sepia Films Just Singer Entertainment La Femme Erotic
Fernando González Molina,Marta Etura ,Elvira Mínguez,Francesc Orella,Thriller,the invisible guardian,"When the naked body of a teenage girl is found on the banks of the River Baztán, it is quickly linked to a similar murder one month before. Soon, rumours are flying in the nearby village of Elizondo. Is this the work of a ritualistic killer or is it the basajaun, the ‘invisible guardian’ of Basque mythology?  Inspector Amaia Salazar leads the investigation, taking her back to the heart of the Basque country where she was born, and where she hoped never to return. Shrouded in mist and surrounded by impenetrable forests, it is a place of unresolved conflicts and a terrible secret from Amaia’s childhood that will come back to haunt her.  Faced with the superstitions of the village, Amaia must fight the demons of her past to confront the reality of a serial killer on the loose. But as she is drawn deeper into the investigation, she feels the presence of something darker lurking in the shadows…",,6.5,ARTE Nostromo Pictures Atresmedia ZDF
Aaron Katz,Lola Kirke,Zoë Kravitz,John Cho,Thriller,gemini,"A heinous crime tests the complex relationship between a tenacious personal assistant and her Hollywood starlet boss. As the assistant travels across Los Angeles to unravel the mystery, she must stay one step ahead of a determined policeman and confront her own understanding of friendship, truth and celebrity.",It’s all there if you know how to look.,5.5,filmscience Syncopated Films Rough House Pictures PASTEL Stage 6 Films
Fiona Gordon Dominique Abel,Fiona Gordon,Dominique Abel,Emmanuelle Riva,Comedy,lost in paris,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",,6.1,CG Cinéma Courage Mon Amour Moteur s'il vous plaît
Francis Whately,Tony Visconti,Gail Ann Dorsey,Tony Basil,Music Documentary,david bowie: the last five years,"In the last five years of his life, David Bowie ended nearly a decade of silence to engage in an extraordinary burst of activity, producing two groundbreaking albums and a musical. David Bowie: The Last Five Years explores this unexpected end to a remarkable career. Made with remarkable access, Francis Whately’s documentary is a revelatory follow-up to his acclaimed 2013 documentary David Bowie: Five Years, which chronicled Bowie’s golden ‘70s and early-‘80s period.",,7.2,BBC Film
Amanda Kernell,Lene Cecilia Sparrok,Mia Sparrok,Maj-Doris Rimpi,Drama,sami blood,"Elle Marja, 14, is a reindeer-breeding Sami girl. Exposed to the racism of the 1930s and phrenological examinations at her boarding school, she starts dreaming of another life. To achieve this other life she has to become someone else and break all ties with her family and culture.",,7.3,Bautafilm Digipilot SVT Nordisk Film Sweden Nordisk Film Denmark
Andrew Getty,Fred Koehler,Sean Patrick Flanery,Brianna Brown,Horror,the evil within,"The sadistic tale of a lonely, mentally handicapped boy who befriends his reflection in an antique mirror. This demonic creature orders him to go on a murderous rampage to kill the people he loves most.",You Can't Run From a Nightmare,5.831,"Writers Studio, The Supernova LLC"
Mark Pellington,Shirley MacLaine,Amanda Seyfried,Anne Heche,Comedy Drama,the last word,"A retired businesswoman – who tries to control everything around her – decides to write her own obituary. A young journalist takes up the task of finding out the truth, and the result is a life-altering friendship.",An unexpected friendship that began at the end.,6.6,Franklin Street Myriad Pictures Parkside Pictures Wondros
Dax Shepard,Michael Peña,Dax Shepard,Jessica McNamee,Action Comedy Crime,chips,The adventures of two California Highway Patrol motorcycle officers as they make their rounds on the freeways of Los Angeles.,Chip Happens,6.1,Primate Pictures Warner Bros. Pictures
Jeffrey Blitz,Anna Kendrick,Craig Robinson,June Squibb,Comedy Drama,table 19,"Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway – only to find herself seated with five fellow-unwanted guests at the dreaded Table 19.",You're invited to the wedding of the season.,6.0,Story Ink 21 Laps Entertainment 3311 Productions
Zach Braff,Morgan Freeman,Michael Caine,Alan Arkin,Crime Comedy Drama,going in style,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",You're never too old to get even.,6.7,Village Roadshow Pictures New Line Cinema De Line Pictures RatPac Entertainment Warner Bros. Pictures
Geoffrey Orthwein Andrew Sullivan,Maika Monroe,Matt O'Leary,Arnar Jónsson,Drama Sci-Fi Thriller,bokeh,"On a romantic getaway to Iceland, a young American couple wake up one morning to discover every person on Earth has disappeared. Their struggle to survive and to reconcile the mysterious event lead them to reconsider everything they know about themselves and the world.",,5.4,Kansha Films Zealous Pictures Vintage Pictures
Philippe Lacheau,Philippe Lacheau,Élodie Fontan,Julien Arruti,Comedy,alibi.com,"Greg founded a company called Alibi.com that creates any type of alibi. With his associate, Augustin, and Medhi his new employee, they devise unstoppable stratagems and stagings to cover their clients. But meeting Flo, a pretty blonde who hates men who lie, will complicate Greg's life, which begins by hiding the true nature of his activity. During the presentation to parents, Greg understands that Gérard, the father of Flo, is also one of their clients.",,6.5,Fechner Films TF1 Droits Audiovisuels StudioCanal TF1 Films Production
Gavin Wiesen,J.K. Simmons,Analeigh Tipton,Emile Hirsch,Comedy,all nighter,"When a globe-trotting, workaholic father trying to visit his daughter on a last minute layover in Los Angeles discovers that she’s disappeared, he forces her awkward, nervous ex-boyfriend, still nursing a broken heart, to help him find her over the course of one increasingly crazy night.",The fastest way to get over an ex? Stay up all night with her dad.,5.8,Green Hummingbird Entertainment Spring Pictures Wing and a Prayer Pictures Good Deed Entertainment
Nicolas Bedos,Nicolas Bedos,Doria Tillier,Denis Podalydès,Romance Drama Comedy,mr & mme adelman,"How did Sarah and Victor get along for more than 45 years? Who was this enigmatic woman living in the shadow of her husband? Love, ambition, betrayals and secrets feed the story of this extraordinary couple, as they experience both the large and small moments of the last century's history.",,7.5,Le Pacte Les Films du Kiosque
Sydney Freeland,Ashleigh Murray,Rachel Crow,Tim Blake Nelson,Drama Comedy Crime,deidra & laney rob a train,"After their mother ends up in jail, two sisters turn to train robbery in order to support their family.",,5.7,
Simon Amstell,Simon Amstell,Linda Bassett,Martin Freeman,Sci-Fi Comedy Documentary,carnage: swallowing the past,"It's 2067, the UK is vegan, but older generations are suffering the guilt of their carnivorous past. Simon Amstell asks us to forgive them for the horrors of what they swallowed.",,6.8,BBC Splice Post
Tommy O'Haver,Melissa Leo,Josh Lucas,Michael Chernus,Crime Drama,the most hated woman in america,"The true story of Madalyn Murray O'Hair -- iconoclast, opportunist, and outspoken atheist -- from her controversial rise to her untimely demise.",,6.1,Brownstone Productions
George Mendeluk,Max Irons,Samantha Barks,Terence Stamp,War Drama History Romance,bitter harvest,"Set between the two World Wars and based on true historical events, Bitter Harvest conveys the untold story of the Holodomor, the genocidal famine engineered by the tyrant Joseph Stalin. The film displays a powerful tale of love, honour, rebellion and survival at a time when Ukraine was forced to adjust to the horrifying territorial ambitions of the burgeoning Soviet Union.",,6.0,Andamar Entertainment Devil's Harvest Production
Johnny Martin,Nicolas Cage,Deborah Kara Unger,Anna Hutchison,Action Thriller,vengeance: a love story,"When a new friend is brutally assaulted, Detective John Droomor is put by chance in charge of the investigation. Although the evidence against the perpetrators seems overwhelming, there is nothing definitive in the case that guarantees justice is served, even more so if some people are willing to twist and betray it.",Beyond good and evil is Justice,5.6,"Hannibal Classics Patriot Pictures Justice Everywhere Productions Martini Films Saturn Films Detective and the Girl Productions, LLC"
Álex de la Iglesia,Mario Casas,Blanca Suárez,Carmen Machi,Horror Thriller Comedy,the bar,"King Randolph sends for his cousin, Duchess Rowena, to help turn his daughters, Princess Genevieve and her eleven sisters, into royal material. But the Duchess strips the sisters of their fun, including their favorite pastime: dancing. When all hope may be lost, the sisters discover a secret passageway to a magical land where they can dance the night away.",Enchanted dancing in a magical world!,7.7,Mainframe Entertainment Mattel Entertainment
Ned Crowley,Jim O'Heir,Andrew J. West,Josh McDermitt,Drama Comedy Crime Thriller,middle man,"When a hapless, unfunny, wanna-be comedian picks up a mysterious hitchhiker on his way to Vegas to audition for the Monte Guy show, he unwittingly becomes trapped in a desert-town killing spree that also has a very unexpected consequence - it improves his comedy.",It's only funny until someone gets hurt.,5.9,
Nathan Adloff,Tim Boardman,Missi Pyle,Stephen Root,Drama,miles,"High school senior Miles Walton joins the girls volleyball team in hopes of winning a college scholarship, which causes an uproar in his small Illinois farming town.",,5.4,
Kelly Asbury,Julia Roberts,Ariel Winter,Ellie Kemper,Adventure Animation Comedy Family,smurfs: the lost village,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.",,6.3,Kerner Entertainment Company Columbia Pictures Sony Pictures Animation
Charlie McDowell,Jason Segel,Rooney Mara,Robert Redford,Drama Romance Sci-Fi Thriller,the discovery,"In the near future, due to a breakthrough scientific discovery by Dr. Thomas Harbor, there is now definitive proof of an afterlife. While countless people have chosen suicide to reset their existence, others try to decide what it all means. Among them is Dr. Harbor's son Will, who has arrived at his father's isolated compound with a mysterious young woman named Isla. There, they discover the strange acolytes who help Dr. Harbor with his experiments.",,6.3,Protagonist Pictures Endgame Entertainment
Gurinder Chadha,Hugh Bonneville,Gillian Anderson,Michael Gambon,Drama History,viceroy's house,"In 1947, Lord Mountbatten assumes the post of last Viceroy, charged with handing India back to its people, living upstairs at the house which was the home of British rulers, whilst 500 Hindu, Muslim and Sikh servants lived downstairs.",The end of an empire. The birth of two nations.,6.7,Reliance Entertainment Pathé Productions BBC Film BFI Bend It Films Deepak Nayar Productions Anguille Productions Filmgate India Take One Productions Ingenious Media
Alec Su,Nick Wang,Zhang Lu-Yi,Ruby Lin,Mystery Thriller,the devotion of suspect x,"Based on Keigo Higashino’s award-winning novel, THE DEVOTION OF SUSPECT X follows a professor (Wang Kai) assisting in a murder investigation, only to find that a longtime rival and friend (Zhang Luyi) from his early university days may be involved.",,5.3,Beijing Enlight Pictures Kross Pictures
Niki Caro,Jessica Chastain,Johan Heldenbergh,Daniel Brühl,Drama History,the zookeeper's wife,"The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.",They gave all they had to save all they could,7.4,Scion Films Czech Anglo Productions LD Entertainment Focus Features
Miguel A. Ferrer,Amy Johnston,Cortney Palm,Rey Goyos,Drama Action,female fight club,"Since 2013, Nixon Newell has travelled the world as a professional wrestler. This is the story of her goodbye to independent wrestling.",,,The Tag Rope
Robert Legato,Eliza Dushku,Robert Patrick,Chace Crawford,Horror Mystery Thriller,eloise,"A sensuous and ethereal story of two young women falling in love for the first time. Young, beautiful Àsia lies in a coma, her mother and boyfriend keeping constant vigil by her side. In flashback we see what led up to her accident, her life studying architecture at university, the somewhat overbearing relationship she has with her mother and her passionless relationship with Nathaniel.",,6.6,Els Quatre Gats Audiovisuals S.L.
Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Drama,gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",,8.1,Grade A Entertainment Dayday Films FilmNation Entertainment Fox Searchlight Pictures
Sam Liu,Stuart Allan,Jake T. Austin,Taissa Farmiga,Sci-Fi Animation Action,teen titans: the judas contract,Tara Markov is a girl who has power over earth and stone; she is also more than she seems. Is the newest Teen Titan an ally or a threat? And what are the mercenary Deathstroke's plans for the Titans?,,7.4,DC Entertainment DC Comics Warner Bros. Animation
